Match Number,Round Number,Eco before purchase,Drop Given to Teammate,Eco after purchase,sidearms,main weapon,Shield type,Friendly drop weapon,Contingency Ability,Undercut Ability,kills,round win/loss,match status,Side
1,1,800,None,100,Ghost,None,None,None,1,0,2,Win,Defeat,Defenders
1,2,3500,None,50,Ghost,Guardian ,Heavy,None,0,1,1,Win,Defeat,Defenders
1,3,3250,None,2250,Classic,None,Heavy,Guardian,0,1,0,Loss,Defeat,Defenders
1,4,4150,None,50,Classic,Vandal,Heavy,None,1,1,2,Win,Defeat,Defenders
1,5,3450,None,3050,Classic,Vandal,Heavy,None,1,2,2,Win,Defeat,Defenders
1,6,6450,None,5250,Classic,None,Heavy,Vandal,1,2,0,Win,Defeat,Defenders
1,7,8250,None,3950,Classic,Vandal,Heavy,None,1,2,1,Win,Defeat,Defenders
1,8,7150,None,2650,Classic,Vandal,Heavy,None,1,2,0,Win,Defeat,Defenders
1,9,5650,None,1350,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Defenders
1,10,3250,None,2250,Classic,None,Heavy,Vandal,1,2,0,Win,Defeat,Defenders
1,11,5250,None,1350,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Defenders
1,12,3250,None,2250,Classic,None,Heavy,Vandal,1,2,2,Loss,Defeat,Defenders
1,13,800,None,100,Ghost,None,None,None,1,0,3,Win,Defeat,Attackers
1,14,4000,None,100,Ghost,Vandal,Heavy,None,0,0,2,Win,Defeat,Attackers
1,15,3800,None,2200,Ghost,Vandal,Heavy,None,1,2,0,Loss,Defeat,Attackers
1,16,4100,None,0,Classic,Vandal,Heavy,None,1,0,0,Loss,Defeat,Attackers
1,17,2400,None,1600,Sheriff,None,None,None,1,0,0,Loss,Defeat,Attackers
1,18,4500,None,200,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Attackers
1,19,3100,None,1750,Classic,Marshal,Light,None,1,2,0,Loss,Defeat,Attackers
1,20,4650,None,750,Classic,Vandal,Heavy,None,1,2,0,Loss,Defeat,Attackers
1,21,3650,None,350,Classic,Vandal,Light,None,1,2,0,Loss,Defeat,Attackers
1,22,3250,None,0,Classic,Guardian ,Heavy,None,1,0,1,Win,Defeat,Attackers
1,23,3500,None,0,Classic,Vandal,Light,None,1,1,0,Loss,Defeat,Attackers
1,24,1900,None,100,Sheriff,None,Heavy,Vandal,1,0,1,Loss,Defeat,Attackers
2,1,800,None,100,Ghost,None,None,None,0,1,4,Win,Victory,Attackers
2,2,4200,None,3200,Ghost,None,Light,None,1,2,2,Win,Victory,Attackers
2,3,6900,None,3000,Classic,Vandal,Heavy,None,1,2,1,Win,Victory,Attackers
2,4,6500,None,2200,Classic,Vandal,Heavy,None,1,2,0,Loss,Victory,Attackers
2,5,4100,None,0,Classic,Vandal,Heavy,None,1,2,3,Win,Victory,Attackers
